"Median_House_Value","Median_Income","Median_Age","Tot_Rooms","Tot_Bedrooms","Population","Households","Latitude","Longitude","Distance_to_coast","Distance_to_LA","Distance_to_SanDiego","Distance_to_SanJose","Distance_to_SanFrancisco"
"452600","8.3252","41","880","129","322","126","37.88","-122.23","9263.0407728504","556529.1583418","735501.80698384","67432.517000843","21250.21376678"
"358500","8.3014","21","7099","1106","2401","1138","37.86","-122.22","10225.733071542","554279.85006876","733236.88436017","65049.908573966","20880.600399707"
"352100","7.2574","52","1467","190","496","177","37.85","-122.24","8259.0851093229","554610.71706938","733525.68293736","64867.289833485","18811.487449688"
"341300","5.6431","52","1274","235","558","219","37.85","-122.25","7768.0865708364","555194.26608629","734095.29074403","65287.138412052","18031.047567727"
"342200","3.8462","52","1627","280","565","259","37.85","-122.25","7768.0865708364","555194.26608629","734095.29074403","65287.138412052","18031.047567727"
"269700","4.0368","52","919","213","413","193","37.85","-122.25","7768.0865708364","555194.26608629","734095.29074403","65287.138412052","18031.047567727"
"299200","3.6591","52","2535","489","1094","514","37.84","-122.25","6843.020847375","554364.40693565","733249.80857759","64315.991741937","17538.209972498"
"241400","3.12","52","3104","687","1157","647","37.84","-122.25","6843.020847375","554364.40693565","733249.80857759","64315.991741937","17538.209972498"
"226700","2.0804","42","2555","665","1206","595","37.84","-122.26","6363.9480126177","554949.74951857","733820.82441922","64751.463862914","16744.406583507"
"261100","3.6912","52","3549","707","1551","714","37.84","-122.25","6843.020847375","554364.40693565","733249.80857759","64315.991741937","17538.209972498"
"281500","3.2031","52","2202","434","910","402","37.85","-122.26","7349.6208416098","555778.65766927","734665.57503872","65716.117724091","17260.03207362"
"241800","3.2705","52","3503","752","1504","734","37.85","-122.26","7349.6208416098","555778.65766927","734665.57503872","65716.117724091","17260.03207362"
"213500","3.075","52","2491","474","1098","468","37.85","-122.26","7349.6208416098","555778.65766927","734665.57503872","65716.117724091","17260.03207362"
"191300","2.6736","52","696","191","345","174","37.84","-122.26","6363.9480126177","554949.74951857","733820.82441922","64751.463862914","16744.406583507"
"159200","1.9167","52","2643","626","1212","620","37.85","-122.26","7349.6208416098","555778.65766927","734665.57503872","65716.117724091","17260.03207362"
"140000","2.125","50","1120","283","697","264","37.85","-122.26","7349.6208416098","555778.65766927","734665.57503872","65716.117724091","17260.03207362"
"152500","2.775","52","1966","347","793","331","37.85","-122.27","7016.6772439486","556363.88915713","735236.53424147","66154.050138904","16499.762203124"
