"Median_House_Value","Median_Age","Tot_Rooms","Tot_Bedrooms","Population","Households"
"452600","41","880","129","322","126"
"358500","21","7099","1106","2401","1138"
"352100","52","1467","190","496","177"
"341300","52","1274","235","558","219"
"342200","52","1627","280","565","259"
"269700","52","919","213","413","193"
"299200","52","2535","489","1094","514"
"241400","52","3104","687","1157","647"
"226700","42","2555","665","1206","595"
"261100","52","3549","707","1551","714"
"281500","52","2202","434","910","402"
"241800","52","3503","752","1504","734"
"213500","52","2491","474","1098","468"
"191300","52","696","191","345","174"
"159200","52","2643","626","1212","620"
"140000","50","1120","283","697","264"
"152500","52","1966","347","793","331"
"155500","52","1228","293","648","303"
"158700","50","2239","455","990","419"
"162900","52","1503","298","690","275"
"147500","40","751","184","409","166"
"159800","42","1639","367","929","366"
"113900","52","2436","541","1015","478"
"99700","52","1688","337","853","325"
"132600","52","2224","437","1006","422"
"107500","41","535","123","317","119"
"93800","49","1130","244","607","239"
"105500","52","1898","421","1102","397"
"108900","50","2082","492","1131","473"
"132000","52","729","160","395","155"
"122300","49","1916","447","863","378"
"115200","52","2153","481","1168","441"
"110400","48","1922","409","1026","335"
"104900","49","1655","366","754","329"
"109700","51","2665","574","1258","536"
"97200","49","1215","282","570","264"
"104500","48","1798","432","987","374"
"103900","52","1511","390","901","403"
"191400","52","1470","330","689","309"
"176000","52","2432","715","1377","696"
"155400","52","1665","419","946","395"
"150000","51","936","311","517","249"
"118800","49","713","202","462","189"
"188800","52","950","202","467","198"
"184400","52","1443","311","660","292"
"182300","52","1656","420","718","382"
"142500","50","1125","322","616","304"
"137500","43","1007","312","558","253"
"187500","40","624","195","423","160"
"112500","40","946","375","700","352"
"171900","21","896","453","735","438"
"93800","43","1868","456","1061","407"
"97500","41","3221","853","1959","720"
"104200","52","1630","456","1162","400"
"87500","52","1170","235","701","233"
"83100","52","945","243","576","220"
"87500","52","1238","288","622","259"
"85300","52","1489","335","728","244"
"80300","52","1387","341","1074","304"
"60000","2","158","43","94","57"
"75700","52","1121","211","554","187"
"75000","49","135","29","86","23"
"86100","50","760","190","377","122"
"76100","52","1224","237","521","159"
"73500","48","828","182","392","133"
"78400","52","1010","209","604","187"
"84400","48","1455","354","788","332"
"81300","52","1027","244","492","147"
"85000","52","572","109","274","82"
"129200","46","2801","644","1823","611"
"82500","26","768","152","392","127"
"95200","46","935","297","582","277"
"75000","49","844","204","560","152"
"67500","46","12","4","18","7"
"137500","20","835","161","290","133"
"177500","17","1237","462","762","439"
"102100","36","2914","562","1236","509"
"108300","19","1207","243","721","207"
"112500","23","1745","374","1054","325"
"131300","38","684","176","344","155"
"162500","17","924","289","609","289"
"112500","52","210","56","183","56"
"112500","52","340","97","200","87"
"137500","52","386","164","346","155"
"118800","35","948","184","467","169"
"98200","52","773","143","377","115"
"118800","40","880","451","582","380"
"162500","10","875","348","546","330"
"137500","10","105","42","125","39"
"500001","52","249","78","396","85"
"162500","16","994","392","800","362"
"137500","52","215","87","904","88"
"162500","52","96","31","191","34"
"187500","27","1055","347","718","302"
"179200","39","1715","623","1327","467"
"130000","36","5329","2477","3469","2323"
"183800","31","4596","1331","2048","1180"
"125000","29","335","107","202","91"
"170000","22","3682","1270","2024","1250"
"193100","37","3633","1085","1838","980"
"257800","29","4656","1414","2304","1250"
"273400","28","5806","1603","2563","1497"
"237500","39","854","242","389","228"
"350000","52","2155","701","895","613"
"335700","34","5871","1914","2689","1789"
"313400","52","1509","225","674","244"
"268500","52","2026","482","709","456"
"259400","52","1758","460","686","422"
"275700","52","3481","751","1444","718"
"225000","28","3337","855","1520","802"
"262500","52","1424","289","550","253"
"218500","32","3809","1098","1806","1022"
"255000","26","3959","1196","1749","1217"
"224100","52","2376","559","939","519"
"243100","35","1613","428","675","422"
"231600","52","1279","287","534","291"
"218500","28","5022","1750","2558","1661"
"234100","52","4190","1105","1786","1037"
"327600","50","2515","399","970","373"
"347600","47","3175","454","1098","485"
"366100","41","2576","406","794","376"
"335000","37","334","54","98","47"
"373600","52","2800","411","1061","403"
"389500","52","3529","574","1177","555"
"391100","52","2612","365","901","367"
"337300","28","5287","1048","2031","956"
"295200","50","2935","473","1031","479"
"292300","44","3424","597","1358","597"
"411500","40","4991","674","1616","654"
"311500","30","2211","346","844","343"
"325900","34","3038","490","1140","496"
"392600","18","1617","210","533","194"
"319300","35","2865","460","1072","443"
"333300","34","5065","788","1627","766"
"335200","28","1326","184","463","190"
"351200","26","1589","223","542","211"
"368900","29","1791","271","661","269"
"365900","32","1835","264","635","263"
"366700","37","1229","181","420","176"
"362800","39","3770","534","1265","500"
"483300","30","292","38","126","52"
"331400","52","2375","333","813","350"
"323500","45","2964","436","1067","426"
"216700","50","2833","605","1260","552"
"233100","38","2254","535","951","487"
"296400","52","1389","212","510","224"
"273700","52","1971","335","765","308"
"227700","52","2183","465","1129","460"
"199600","52","2286","464","1073","441"
"239800","52","2721","541","1185","515"
"270100","52","2024","339","756","340"
"302100","52","2944","536","1034","521"
"269500","52","2033","486","787","459"
"314700","52","1433","229","612","213"
"390100","52","2927","402","1021","380"
"410300","52","2315","292","861","258"
"352400","52","2485","313","953","327"
"287300","52","1490","238","634","256"
"348700","52","2814","365","878","352"
"243800","52","2093","550","918","483"
"211500","52","888","168","360","175"
