publishedAt,authorDisplayName,textDisplay,likeCount;
2023-11-15T04:57:20Z,@salutambungameplay29,sejak dulu Indonesia begitu,0;
2023-10-22T22:11:37Z,@imamiska4738,Puji Syukur tiktok shop dihilangkan...,0;
"2023-10-14T07:16:56Z,@parlindungansilitongakobar7920,""Merusak generasi anak bangsa juga ia,terutama muda mudi,g ada ya beres juga,malah lebih banyak haram nya dari pada halal nya,👍bagus di tutup"",0";
"2023-10-13T03:38:42Z,@anugrahyra3458,""Pembeli adalah raja,,itu pepatah tidak berlaku lagi..<br>Lagian klo tiktok shop tutup,,e-commerce lain gmn??<br>Zaman udah beda,,ikuti saja trend sekarang..<br>Namanya hidup,,anda maju kami gk ikut campur pun anda mundur kenapa kami harus tahu???"",0";
2023-10-11T11:58:16Z,@user-ko1du1yz8k,LBH enak d kumpulin .kaya tik tok jos bisa live.pasti jujurnya...,0;
2023-10-10T07:51:58Z,@subrotoo3467,blokir itu tiktok udah meresahkan Indonesia,1;
2023-10-08T02:12:21Z,@jepru2783,produk otomotif jg lah.larang  kasiahan.yg pd sewa kios .sepi pembeli.,0;
2023-10-07T13:33:27Z,@niNi-tg6jj,Ini Permianan big bos amerika .. di mana china hendak menguasai disitu amerika bernyanyi.. dr Jaman unisoviet sampe TikTok di kobarkan bahaya.. TOLOL,0;
"2023-10-07T12:56:38Z,@DuaKasihTerutama,""Pemerintah kalau mau jadi polisi online shop harus dibuatkan jalan masuk kesana.<br><br>Pendapat saya, salah satu jalannya bisa dengan cara membuat jalur internet khusus yang berguna untuk berjualan/transaksi.<br><br>Contoh.<br>Ketika memakai jaringan internet telkomsel halo, telkomsel As, XL, Tri, Axis, semua orang bisa menawarkan produk dengan berbagai cara secara online shop, tapi ketika harus melakukan transaksi yang aman, yaitu adanya pihak ketiga sebagai perantara antara penjual dan pembeli, semisalnya ya salah satu marketplace, maka mereka wajib terhubung ke sebuah jalur internet khusus.<br>Dengan cara begini, maka setiap transaksi akan memiliki data besar yang terkumpul di satu tempat, dan membuka jalan untuk dapat dikelola oleh pemerintah.<br><br>contoh penerapan.<br>A menawarkan produk di olshop dengan jaringan XL.<br>B menawarkan produk di olshop dengan jaringan Telkomsel.<br><br>A melakukan transaksi di olshop dengan C dengan menggunakan jaringan XL.<br><br>B melakukan transaksi di olshop dengan A, dengan menggunakan akun C, dengan menggunakan jaringan Telkomsel.<br><br>Hal diatas akan bisa diawasi jika transaksi hanya bisa menggunakan jalur internet khusus.<br><br>A melakukan transaksi dengan C dengan menggunakan jaringan XL Shop.<br><br>B melakukan transaksi dengan A";" dengan menggunakan akun C, dengan menggunakan jaringan Telkomsel Shop.<br><br>Dengan jalur internet khusus, pemerintah dapat mengawasi transaksi seperti data di atas, dan dapat memutuskan juga, apakah transaksi antar sesama pengguna jalur khusus boleh atau tidak.<br><br>Dan juga bisa menerapkan biaya tambahan atau pengurangan untuk beberapa transaksi khusus yang telah diatur.<br>Contoh:<br>A memiliki offline shop terdaftar dan membuka olshop<br>B hanya memiliki olshop.<br><br>A ketika melakukan transaksi menggunakan jalur khusus akan langsung mendapatkan point.<br><br>B ketika melakukan transaksi dengan menggunakan jalur internet khusus, tidak mendapat point, tetapi karena belum memiliki offline shop dapat dianggap UMKM online, maka akan diberikan fasilitas bebas ongkir."",0"
"2023-10-07T07:22:26Z,@lianhua1755,""Di tutup karna takut kalah saing...😅<br>Ya secara belanja di tiktok shope barang nya murah,ongkir tidak terlalu memberatkan dan ori..<br>Aku sering belanja di tiktok shope..."",0";
