publishedAt,authorDisplayName,textDisplay,likeCount
2024-01-18T06:08:21Z,@m.miftahulmunuirmunir1892,tiru itu harganya ok itu ini kemajuan umkm di tiktok di shopee dan lazanda ok dari teknologi itu harus ada umkm dari teknologi,0
2024-01-18T06:06:15Z,@m.miftahulmunuirmunir1892,lanjut pak jokowidodo umkm ada harus masuk di tiktok dan shopee dan lazanda umkm harus masuk di media ok itu benar,0
2024-01-18T06:04:04Z,@m.miftahulmunuirmunir1892,ya benar pak  ada ber ada katan dari teknologi semua benar,0
2024-01-18T06:02:42Z,@m.miftahulmunuirmunir1892,ya benar berlaku dengan  siapa,0
2024-01-18T05:57:53Z,@m.miftahulmunuirmunir1892,pak ini zaman  menjual di tiktok dan shopee jualan media baik junga dari teknologi itu lanjut jual di lazzada bisa banya jual di media dari teknologi umkm  semua ada kemajuan ada di indonesia  bukan toko saja media jual jung ok umkm jual di shopee bagus baik  murah  baik lagi mampu itu benar,0
2024-01-18T06:01:37Z,@m.miftahulmunuirmunir1892,ya benar itu apa yang bapak kataan itu benar jawab dari teknologi ya benar itu  sanggat berguna sekali itu benar itu....dunia litas falafon itu benar  ya harga  saja kurung murah di indonesia,0
2023-12-31T05:22:11Z,@cecenet6,tumbang kalo sistim kompeni.,0
2023-12-29T15:03:57Z,@jeffsaputra3730,Harga penjualannya yg ngga masuk akal<br>Ngejatuhin harga pasar bisa bahaya bro,0
2023-12-13T04:16:13Z,@putrayusub1922,Amerika menolak tiktok shop. Malah indonesia membukanya knp mau rakyat disengsarakan .,0
2023-12-12T12:51:16Z,@alimurtadho5289,Bacot sosial media jadi e-commerce buka lagi karna uang nya mengucur undang2 bisa di ubah,0
2023-12-01T01:42:09Z,@user-vz3tc9hh3y,"Tik tok itu sebenarnya punya Zionis krna sham2 disna bnyk mrka yg pegang, Tiongkok itu hnya alat mreka toh skrng jg mrka bnyk utang memng prodaknya dri Tiongkok tpi byk org2 Jew yg pegang kndali, aplgi pasar yg bnyk DiIndonesia sbgai trget utama, syukur bngsa kita cepat mnutupnya, mski sya dn wrga Indo bnyk yg tidk stuju, tpi itu lh utk meminimalisir akibat TikTok kmpret",0
2023-11-11T05:56:32Z,@adism707,Budayakan beli prudak dalam negri biar rupiah gak anjlok,0
2023-11-07T20:12:23Z,@DilAbadyi,TikTok shop 90％ produkt dari China. Tanah di negara dikuasi asing,0
2023-11-02T12:09:24Z,@puryantoparmy,Yang jelas pajak nya kurang,0
2023-10-18T18:16:11Z,@ekosatrio5205,"JGN TAKUT DGN ADANYA PERDAGANGAN PASAR BEBAS ILEGAL,TAPI YANG PERLU DI TAKUTKAN JIKA PENGAWAS PERDAGANGAN PURA-PURA BUTA.😂😂😂 pemerintah semestinya  bersyukur rakyatnya bisa menjangkau daya beli.krn pemerintah sendiri gk bisa bikin produk murah bagi rakyatnya sendiri😂😂😂",0
2023-10-18T08:01:33Z,@panjihananto4045,"Owh saya paham maksudnya,  saya salah satu orang yg baru bekerja di ekspedisi JNT yg trkena dampaknya dari tiktok shop di tutup, ada ratusan kurir orang yg trkena dampak dari kejadian ini<br>Smoga tiktok bisa mengurus smua perizinan dan kembali brgabung dgn JNT karna customor sudah banyak yg menunggu dan brharap aplikasi ini akan di bukanya kembali,  karna dgn dibukanya tiktok kembali ekspedisi yg trlibat yg bekerja sama dgn tiktok bisa menciptakan lapangan pekerjaan untuk ratusan orang mungkin ribuan orang",0
2023-10-15T23:48:10Z,@user-ld9px7xh9m,"PULIHLAH KAU BANGSAKU, TANPA CAMPUR TANGAN TETANGGA LAIN✊",0
2023-10-15T06:56:47Z,@yanudinjitafarit1322,Jika semua pasar dikuasai luar percayalah lapangan kerja akan susah.<br>Jika indonesia ingin lebih maju umkm harus berkembang agar dapat menyerap tenaga kerja,0
2023-10-14T07:40:21Z,@michaelstefanus2461,"kita tst tau sama tau lahh, visi tiktok itu &quot; Poduksi lokal ? atau Produksi China ? &quot; pemerintah dukung ecommerce lokal donkk !!  jangan biarin indonesia adu kambing sama china !! remuk lah kita !",0
2023-10-12T23:10:25Z,@nurfitri386,UMKM harus maju karena tidak semua orang mengenal yg namanya sosial media.,0
2023-10-12T06:34:32Z,@SumonSumon-pz4pe,Sayang nya banyak orang gak ngerti dampak online shop kalo di iklan bikin pedagang kecil maju nyata nya malah bikin pedagang kecil gak bisa jualan,0
2023-10-12T05:17:43Z,@daredevil6964,Yang penting jangan dari moncong putih yang jadi presiden 🤣🤣🤣,0
2023-10-11T18:31:58Z,@user-hd6vc3lr2r,Umkm pnya toko omset puluhan juta ?? Lihat lah rakyat kecil bro,0
2023-10-11T03:17:35Z,@naylailmia1910,"menurut hipotesis saya ini hanyalah masalah persaingan dengan  raksasa market place shopee, tokped, lazada dan lainnya.<br>kalau umkm sudah sangat merasakan tekanan sejak pandemi, dan semakin kuat tekanannya oleh marketplace 2 tersebut.<br>yang sangat merasakan tekanannya umkm dagang,,, kalau umkm produsen bisa dilindungi dengan  pembatasan impor.<br>namun memang dari sisi konsumen sangat diuntungkan.",0
2023-10-10T10:33:38Z,@janganmenutupakal3390,"Buat pedagang Tanah Abang yg ngelunjak. Tiktok shop udah dihapus masih minta e-commerce dihapus ? <br>Sekalian aja harga diri pedagang kau hapus.<br><br>Perkembangan digital itu jelas sebuah kemajuan, mengapa kemajuan harus ditolak ? <br><br>Sebaiknya anda para pedagang offline siap bersaing, siasati perkembangan digital agar daganganmu unggul, bukan malah cengeng karna hati dan pikiran yang kotor untuk menghasut dan ngemis bantuan ke pemerintah. <br><br>Bukan hanya anda yang berhak punya rejeki dan kemajuan. Coba lihat dampak baik e-commerce, banyak pengangguran yang bisa mencari rejeki dengan dagang online, banyak orang bisa mencari rejeki tambahan dengan business to business, terhindar dari uang palsu dengan e-wallet, jauh dari kriminal, pungli, pelecehan dan kejahatan. Lah kalo offline ? Panas, mahal, rawan kejahatan, uang palsu dll.<br><br>Syarat fundamental untuk maju ya berikan gizi untuk rohani anda (hati, otak, karakter, moral, mental). Kalo rohani pedagang gak bergizi yang ada kemunduran jadi pribadi terbelakang.",0
2023-10-09T23:01:38Z,@DediSupriyatna-to9sx,Indonesia smpe kapapun kalah saing dlm berdagang china..sebangsa saja saling membunuh dlm seglh bidang..apalgi dlm saingn perdgangn,0
2023-10-09T17:02:29Z,@landpeace07,"UMKM mampu produk tapi jadi mahal harganya,itulah kelemahannya gimana mau bersaing dgn brg3 luar ,klau mau rame UMKM hrg dimurahin atau lebih murah dari harga luar",0
2023-10-09T15:10:16Z,@xupingsilver9506,Bukan pasar tnh abg saja yg ttup bos.pabrik tempat kerja sy jg turup..Tutup aj tu titok shopy dll..krna prodak y cina semua..,0
2023-10-09T09:20:16Z,@radityarifqi922,tiktok harus tiktok hrs bisa jualan krn bs membatu kami,0
2023-10-09T04:50:50Z,@febrinaandriani9406,Alhamdulillah...Tuhan tidak tidur...memang hrs kaya begini...biar masyarakat dan UMKM bisa hidup dan menampung byk tenaga kerja....artis2 yg rakus 2 bisa merasakan ...sudah kaya tp tetap ngaa pernah cukup...ada duit foya 2 ke LN ... karyawan paling segelintir dan circle mereka sendiri,0
2023-10-08T16:49:38Z,@arhamandi6431,tidak mampu bersaing 😂😂,0
2023-10-08T12:08:19Z,@cahyanimismuslimah255,"Kalau masalahnya terdapat pada lakunya barang impor daripada barang lokal, harusnya larang saja barang impor dtg ke Indonesia, itu malah lebih membantu agar produk lokal lebih laku,",0
2023-10-08T02:04:32Z,@misranmisran6388,"Makanya brend indonesia harus tetap menjaga kulitas produknya, jangan sampai indonesia dijadikan pasar pemakai saja oleh cina dan memang produk cina murah dan mutu baik itulah pemasaran produk cina pasalnya untuk meraih pasar jangka pancang di indonesia cina tau jumlah penduduk indonesia banyak",0
2023-10-08T01:01:18Z,@nengdewi7627,"Tiktok di tutup tapi malah semakin banyak pengangguran, 😢 phk massal kurir sudah jelas, lebih jelasnya lagi yang biasa jualan dirumah jadi tidak bisa normal seperti biasaa😢",0
2023-10-08T00:57:57Z,@nengdewi7627,"Sekarang tiktok shop ditutup malah semakin parah, kurir jadi phk masal",0
2023-10-07T23:22:08Z,@lambokalamsi9866,Lama2 gojek dan grap juga kena ini..<br>Krn bisa merusak para pendapatan supir2 angkut...,0
2023-10-07T22:22:22Z,@mbahbeno8165,Shope juga menjual produk asing kenapa ndak di tutup ya pak,0
2023-10-07T16:19:09Z,@izwan_z_roslan,Bagus2 kalau org indo mau beli brg masuk jualan org malaysia ya .. Kesian lihat indonesia  ya negara nya masih mundur tidak dapat menerima jualan digital . Dapat pula pemerintah yg tak berapa cerdik .. kalau UMNO ada kat Indonesia pasti Indonesia maju mcm malaysia,0
2023-10-07T08:29:57Z,@wahyuwidiyarto5809,"Kalo impor beras tidak di setop , petani tidak cuma tumbang, mungkin bisa hancur lebur masadepan anak anaknya.",0
2023-10-06T15:41:18Z,@adityasaputra8202,yah misk8n lagi kita kalau tiktok dihapus d9nh,0
2023-10-06T13:54:28Z,@antonsetiawan01,Penjelasan gak masuk akal. Di shopy dan tokopedia itu banyak penipuan itu alasan oranng banyak belanja di tiktok shop secara live,0
2023-10-06T08:38:38Z,@sya_sa,Knpa harus tik tok shop yang d larang harusnya penjual online semua harus d larang jangan cuman tik tok shop doang yang d larang,0
2023-10-06T08:00:41Z,@arieldr9548,Kl tiktok smuanta vsa.. brrti medsos yg pling efektif donk.. hnya dgn 1 aplikasi sdh bsa dgynakn utk smuanya,0
2023-10-06T07:58:36Z,@arieldr9548,"Knp ikut2n amerika,?? <br><br>Amerika  ta emang lg perang dagang dgn china",0
2023-10-06T07:57:04Z,@arieldr9548,Tiktok mmbntu umkm dlm pemasarn koh.. knp mlh dtutup??,0
2023-10-05T17:28:12Z,@deriliaderilia7229,"Alasan utama tiktok shop ditutup itu bukan karena toko offline sepi, tapi karena izin tiktok shop sebagai e commerce itu gak ada, selama ini tiktok itu izinnya sbg media sosial tapi prakteknya malah digabung sama e commerce, akhirnya tiktokshop tidak terkena regulasi yg sama seperti shopee, tokped dll. Yg mana regulasinya itu setiap e commerce presentase produk lokal harus lebih banyak daripada produk luar. Nah tiktok gak kena tuh karena izinnya sebagai media sosial, apalagi ada indikasi tiktok mengendalikan algoritma dan cuma menaikkan produk2 dari china, akhirnya produk lokal selalu kalah, karena tiktok bisa aja dengan mudah memilih produk mana yg akan mereka naikkan dan Hal ini bisa menyebabkan monopoli pasar<br><br>Sayangnya hal ini gak disebut ama pemerintah, yg disebut cuma &quot;masalah toko offline sepi doang&quot; padahal masalahnya tidak sesederhana itu.",2
2024-02-02T11:39:10Z,@harisfadli8356,Btull,0
2023-10-05T13:40:03Z,@AdrianEkaPrasetyo,Mau nya segala online di tutup aja jangan cuma tiktok shop aja karna kami juga pedagang pasar sepi benar<br>Yang se tujuh like yuk,0
2023-10-05T11:22:31Z,@sukioky5089,Kenapa cuma tiktok yg di tutup jual beli nya,0
2023-10-05T10:01:57Z,@ahmadsarif3497,"Umkm juga pasang harga mahal apalagi dekat natal dan lebaran, mereka jual harga sesuai suka mereka. Naik bensin naik juga harga barang. Klw jualan tiktok gk ada pengaruh naik bensin atau apa aja alasan naikkan harga.",0
2023-10-05T09:59:37Z,@ahmadsarif3497,Yg jualan tiktok orng Indonesia dan yg tutup orng Indonesia. Trus yg merasa di rugikan orng Indonesia trus beli di pasar  dan pasar tradisional harga murah barang gmpang rusak. Klw jualan mahal beli di pasar juga gk bisa tawar. Jadi serba slh pembeli.,0
2023-10-05T09:28:35Z,@kangtanpan2958,Setuju😊,0
2023-10-05T06:57:51Z,@Kurnialand-uq1ju,"Jangan bilng pasti,.. tunjukkin datanya.....",0
2023-10-05T06:55:52Z,@m.dimaothmanr,"Herannya artis² dan para influencer sdh pny ladang sendiri, dpt endorse sana sini dgn pasang target mahal ehh malah masih serakah jualan standart menengah bawah. Gak mikir nasib para UMKM. Gak ada bersyukurnya.",0
2023-10-05T06:33:42Z,@m.dimaothmanr,"Harus di tindak kami yg berjualan offline harus membayar pegawai, bayar pajak juga tiap tahun! Kalah dgn tiktok shop yg hny modal minim contoh meja dan smartphone!",0
2023-10-05T06:18:38Z,@tiyassusilowati6294,Tik tok shop di tutup tapi sabu sabu di edarkan itu ae yang di bubarkan,0
2023-10-05T05:26:57Z,@ahmadal_jawawi2809,Segera dong carilah solusi Nya.,0
2023-10-05T05:18:59Z,@merryponsel1746,"Tempat daerah sepi sungai pinyuh Kalimantan Barat,saya mau nyalakan penyebabnya karna pontianak.buat darah sya pesi😂😂😂😂.<br>Pasar sepi ya sepi kenapa harus saling menyalakan.<br>Seluruh dunia ekonomi pasar tidak baik mau nyalakan siapa lagi.perang Ukraina dan rusia",0
2023-10-05T04:26:00Z,@endeh6009,"Hilangkan semua belanja online,biar aku bisa jualan burung lg dan adiku bisa kuli panggul lg dipasar,gara2 ada belanja online semua kena dampaknya",0
2023-10-05T03:05:12Z,@sahabatkece8054,betul di tiktok murah sekali .saya sebagai penjahit rumahan sampai terheran2 gimana caranya bikin baju dengan harga jual murah😂,0
2023-10-05T01:05:31Z,@HajiIsam-yq2bl,Begini ya. Org2 skrang malas blanja secara langsung... klo bisa lewat online... kan kita harus ngikutin jaman juga..,0
2023-10-05T00:28:49Z,@Fatimah_fatim,terima kasih pemerintah telah bergerak cepat dalam mengatur serta membuat regulasi dagang yang sehat agar UMKM indo tidak tumbang...tiktok 70% produk import,0
2023-10-05T00:06:31Z,@wikihamzah776,indonesia lgi krisis nih😂,0
