publishedAt,authorDisplayName,textDisplay,likeCount
2023-10-11T09:03:19Z,@Pokuskan,syukur alhamdulillah.. .. smoga ga ada lagi online shop2 yg kya beginian .. buat pedagang2 pasar tradisional ..mall ..maupun pedagang keliling.. semoga setelah di tutupnya aplikasi ini jadi bisa makin berkembang kedepannya . amiin..,0
2023-10-17T06:17:25Z,@cargiewinata1963,Galau,0
2023-10-11T03:32:45Z,@dewiyunita5479,Sebetulnya pro kontra ada  yg di untng kan dan di rugikan bagi pembeli enak nya gak kelur rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yg aku beli .Semua itu juga tergantung masarakat kita yg merasakan masing masing,0
2023-10-09T06:55:21Z,@user-zw3wm1op5p,"Percuma totok di tutup,, kan masih banyak belanja online. Kenapa gak sekalian semua belanja online di tutup, sekarang jamannya orang gak mau pada ribet selama bisa online...",0
2023-10-08T15:34:50Z,@arisudjiman3415,"Toko dan pasar Ofline di daerah Setiap hari menangis gara gara gempuran On line, Cari plaris saja sulit.",0
2023-10-08T13:27:23Z,@Konsorsium_303,"alah tai lu egois dan maruk , yang jadi penjual bukan lu doang, kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau menang sendiri",0
2023-10-07T15:28:56Z,@triharyanto513,Bubarin aj tik tok skalian suruh pulang ke China,0
2023-10-07T10:08:57Z,@widyaamellya7250,Saya sangat sejutu di tutup,1
2023-10-07T07:20:59Z,@anishamzah904,Ah Pali juga pengalihan isu nnti juga di buka lagi kalu ikan udah jadi tenang ajah,0
2023-10-07T04:44:28Z,@BlackDiamond-sw8lo,kebijakan free ongkir yg harusnya dibeneri. kalahnya umkm di daerah kan karena ongkos angkutnya mahal. kontrak perusahaan ekspedisi dan ecommerce harus diawasi. tanpa free ongkir sebenarnya barang2 di ecommerce sebenarnya lebih mahal.,0
2023-10-07T01:23:25Z,@kentung.9233,Alhamdulliah lagian udah pada kaya yanng jualan di til tok,0
2023-10-06T22:40:43Z,@fadilarshil0326,Udh pada kaya yg buka lapak di tik tok shop. Duit nya udh milyaran. Udh pada punya rmh mewah mobil baru tabungan numpuk dari tik tok shop. Tp di sisi lain banyak pedagang2 yg sepi dan tutup karna dagangan nya gak laku gegara tiktok shop. Contoh nya pasar tanah abang. Yg dulu nya rame sekarang jd sepi kek kuburan. Semoga sekarang para pedagang nya rame lg dan laris manis setelah tik tok shop d tutup.,0
2023-10-06T15:16:10Z,@ranticepi1862,Makanya bayar pajak sekalian ajah tikyok nya d hapus d indonesia,0
2023-10-06T07:52:50Z,@AntoToken,Bagun aplikasi sendiri khususx  mengutamakan produk lokal,0
2023-10-05T20:46:32Z,@anggasadewa1305,Pusing pusing dan yg orang2 OKB yg baru mau kaya gara gara aplikasi tok tok waw di tutup yg ada cicilan mobil rumah pada puyeng semuaaa,0
2023-10-05T20:27:19Z,@defa113,"Alhamdulillah kerja bagus buat pemerintah, yg jual banyak flexing memamerkan orderan penghasilan 😅😂<br>Udah mendingan balik ke mode awal joged joged 🤣😂🐷💩",0
2023-10-05T17:36:54Z,@marofficial5339,D mna ke adilan ini,0
2023-10-05T17:07:06Z,@Zakariahhadi,Alhamdulillah semoga UMKM Indonesia bisa jalan lagi terutama yg offline,5
2023-10-06T01:27:46Z,@HardyOkeyyy-yr3xd,Alhamdulillah puji tuhan,1
2023-10-05T15:43:28Z,@azrumhe,"Maaf ,di inggris sdh dilarang dan biasa aja",0
