"full_text","Label"
"Sedih banget ga sih padahal orderan udah mulai rame, baru aja kejual beberapa item udah digulung aja ???? padahal lumayan banget buat sampingan padahal, sedih deh tik tok shop ditutup ga bisa jadi affiliate lagi pak @jokowi #KamiUMKMdiTikTok https://t.co/hcAxxvl148","negatif"
"Dengan adanya tiktok shop mempermudah masyarakat dalam membeli maupun menjual produk tanpa harus mengeluarkan modal yang banyak jadi kalo di tutup gini gimana dong mau cari uang? @jokowi #KamiUMKMdiTikTok https://t.co/t5Rn30Zxe9","positif"
"Dengan adanya Tiktok Shop sangat membantu ekonomi kami para pedagang UMKM dengan menjangkau customer lebih luas skrg zaman serba online kadang masyarakat malas mencari barang di toko lebih memilih belanja online saatnya para pedagang melek teknologi pak @jokowi #KamiUMKMdiTiktok","positif"
"Buat Saya yg baru merintis UMKM di Tiktokshop sangat menyayangkan banget dg ditutupnya TiktokShop. Karna omset bisa naik pesat dari platform Tiktokshop ini. Kalo ditutupnya TiktokShop mau berjualan gimana lagi Saya. #KamiUMKMdiTiktok https://t.co/q6KYFwoiJ1","positif"
"Jujur pak sejak adanya tiktok shop dan social commerce lainnya  mudahkan kami untk jualan ke luar kota dan bisa bikin konten dgn minim biaya. saya kebantu bget jualan di rmh. Kalau tiktok shop dan social commerce lain dihapus terus kami jualan dimna pak? @jokowi #KamiUMKMdiTikTok","positif"
"Dear pemerintah. Membangun usaha dari 0 itu sulit lho :(( gimana upaya pemerintah mendukung UMKM kalau ada wadah yang bisa mengembangkan usaha kami malah dihapus. Dari social media bisa mendapatkan penghasilan. Bukannya ini peluang bagus? Hiks...  @jokowi   #KamiUMKMdiTikTok https://t.co/aBWtJj8IGu","netral"
"Saya kecewa tiktok shop ditutup. Adanya tiktok shop dan social commerce memudahkan utk jualan dan bikin konten tanpa biaya iklan. Pembeli bisa langsung lihat konten dan tertarik belanja. Kalau tiktok shop dan social commerce dihapus sy jualan di mana huhu @jokowi #KamiUMKMdiTikTok","negatif"
"Dlu orderan dr tiktokshop bs sampe 500 perhari, skrg cuman 100an aja. Kenapa ngga malah ngadain workshop umkm aja biar bisa ikut jualan di tiktok shop? Gimana pak @jokowi? #KamiUMKMdiTikTok https://t.co/Z2OYsEESjG","netral"
"Dari sekian banyaknya e-commerce hasil penjualan sy lebih laku ditiktokshop krn jangkaunya lebih luas. Jika tiktokshop ditutup tanpa regulasi yg benar-benar membantu lantas bagaimana dgn nasib kami para UMKM yg juga berjuang mencari nafkah ditiktok shop? @Jokowi #KamiUMKMdiTikTok https://t.co/YMYL6RMDa5","positif"
"agak kaget sih tiktok shop ditutup, padahal dari TikTok shop kita bisa ngehasilin duit, tolong dibina lebih dalam dan jangan sampe merugikan umkm yg memang sudah dr 0 membangun usahanya di platform social commerce #KamiUMKMdiTikTok @jokowi https://t.co/swOPJWwG01","netral"
"Untuk harga mungkin nanti bisa diberi aturan tersendiri, agar tidak merugikan pasar2 offline. Atau knp tidak diadakan kerjasama secara langsung terhadap management tiktok,  selain memberi pemahaman sistem penjualan untuk UMKM yg sedang merintis usaha.   @jokowi #KamiUMKMdiTikTok","netral"
"Apakah pemerintah tidak punya solusi lain? Tik-tok shop termasuk salah satu e-commerce yang dapat menunjang pemasukan. Selain menjual bisa sekaligus promosi.  @jokowi #KamiUMKMdiTikTok","netral"
"Sebenarnya sedih sekali tiktokshop ditutup kami kaum kecil yang baru ingin berkembang tiba tiba ditutup dan sedih sekali. semoga bapak @jokowi  mendengarkn kaum kecil ini #KamiUMKMdiTiktok","negatif"
"dan rata2 yg berjualan juga kebanyakan UMKM. padahal menurutku sendiri, UMKM sangat terbantu dengan adanya tiktok shop ini. #KamiUMKMdiTiktok  @jokowi","positif"
"di tiktok shop banyak juga UMKM yg jualan, kalau seandainya pemerintah berniat membatasi tiktok shop pasti ada yg ga setuju juga karena merugikan UMKM. #KamiUMKMdiTiktok  @jokowi https://t.co/V18e0wVCk9","netral"
"Saya sangat kecewa kalau memang tiktok shop akn di tutup, krn kami sbgi penjual dan affiliator tiktok sangat kecewa karna kami kehilangan media mata pencaharian kami dlm menjual barang, pk @jokowi ,tolong bersikap adil pd UMKM indonesia termasuk UMKM di tiktok  #KamiUMKMdiTikTok","negatif"
"Tiktok tuh masa depan bgt buat pelaku UMKM bbrp tahun terakhir. Bnyk pedagang kecil sukses di TTshop. Makanya setuju sih, dibikin regulasi aja gmn caranya ekonomi &amp  UMKM ttp eksis, jgn diapus TTnya. Jd regulasi yg sma2 menguntungkan UMKM &amp  negara  @jokowi #KamiUMKMdiTiktok https://t.co/bWFHXuaafV","positif"
"Apakah dengan tiktokshop pemerintah akan membuka lapangan kerja baru bagi yang terkena dampak PHK dari aplikasi TikTok shop tersebut? Namun apakah demi UMKM TikTok shop harus ditutup dan berdampak para ribuan orang? #KamiUMKMdiTikTok","netral"
"Dri TikTok shop ini lah brg2 kmi dpt diknl dri sabang smpe merauke, dri TikTok shop ini kmi dpt bkrja dgn fleksible g trhlg krn kegiatan lain &amp  kmi ttp bs brpenghasilan utk mnmbhi kbutuhan2 kmi, kmi hrp TikTok shop g dhpus &amp  trs budidayakan TikTok shop @jokowi  #KamiUMKMdiTikTok https://t.co/ZO4aqQ9atg","positif"
"Jujur aja, gk smw penjualan di TikTok shop itu laris Manis&amp hasilnya bisa cpt buat kita kaya, tp kita jg brjuang dri O, gmn susah nya bkin video smpe tgh mlm tp blm fyp, live tpi yg nnton sdkt:( @jokowi  #KamiUMKMdiTikTok https://t.co/jOVh41rXC4","positif"
"Sangat disayangkan kalo TikTok &amp TikTokShop harus dipisah, artinya Kami selaku UMKM haeus kembali membangun usaha online dari awal dimana saat berjualan di TikTok itu bisa mensejahterakan Kami krn hasil jualan yg lumayan. Semoga bisa dipertimbangkan lg @jokowi #KamiUMKMdiTikTok","negatif"
"IMHO sjk ada tiktokshop &amp  ecommerce lain mempermdh pedagang di daerah buat memasarkn produk ke luar","positif"
"Tiktok shop &amp  social commerce lain sebetulnya hal wajar saat teknologi digital menjadi kebutuhan, memangkas biaya operasional toko &amp  iklan. Pembeli lebih praktis membeli barang tanpa ke toko. Justru UMKM konvensional diedukasi &amp  diajak join TikTok Shop #kamiumkmditiktok @jokowi","netral"
"Sekarang zaman sudah semakin maju, seharusnya tiktokshop jangan diberhentikan. Menurut saya pedagang wajib update dan diberi pelatihan oleh pemerintah serta regulasi pajak online. lantas apakah akan menjamin pasar-pasar akan kembali ramai? Pak @jokowi #KamiUMKMdiTikTok","netral"
"Pak @jokowi pdhl tiktokshop jg ga ngerugiin ko. Plusnya UMKM didaerah bs jg jualan lwt tiktokshop. Ngirim kepulau lain&amp produk pun dikenal o/ pembeli yg beda kota/pulau. Ecommerce tu memudahkan antara seller buyer&amp knp gk regulasi dibnrin biar umkm ttp bs bersaing #KamiUMKMdiTikTok https://t.co/yQRnuiGiRO","positif"
"Misalnya yg live dagang, yg tim penjualan, tim packing dan pengiriman. Kan kalo jadi gaboleh jualan justru jadi pengurangan karyawan dsb. Mending pikirin kerangka regulasinya mau gimana, dibanding tiba-tiba stop gaboleh jualan #KamiUMKMdiTikTok","netral"
"Trus kalau TikTok Shop dan ekonomi media dihapus bukan nya malah mematikan UMKM dalam negeri? Tolong jangan hanya mendengar dari satu pihak saja. Tolong diperhatikan lagi kami2 ini para UMKM yang jualan di TikTok Shop.  ???›  @jokowi  #KamiUMKMdiTikTok","negatif"
"Justru menurut saya UMKM dlm negeri sedang berkembang dengan adanya TikTok Shop. Dengan adanya TikTok Shop &amp  ekonomi media sperti yg bapak bilang itu lah bs menjangkau kami2 yg UMKM di daerah utk jualan ke luar daerah tanpa harus punya modal yg besar.  @jokowi  #KamiUMKMdiTikTok","positif"
"Oke,ini kan lagi rame2nya bhs penjualan tiktokshoop dinonaktifkan oleh pemerintah,apa gada yg mau mendengarkan keluh kesah kami yg lagi merintis usaha di tiktok shop? @jokowi #KamiUMKMdiTikTok https://t.co/7MNAXQXmnP","netral"
"Sebetulnya semua pedagang baik online atau offline perlu lebih kreatif dalam meningkatkan daya tarik, agar pembeli juga memiliki minat tinggi untuk membeli dan memiliki. Karena modal kami hanyalah sebatas tiktok, mudahkanlah kami para pemula UMKM #kamiUMKMditiktok @jokowi","netral"
"Bapak tolong Pak @kemendag @kemenkopukm .  kenapa gak regulasi dibenerin supaya umkm tetap bisa bersaing dan bisa kerjasama jg sama tiktok utk bikin pelatihan khusus umkm mungkin krna banyak yg Flexing kekayaan kali yah tpi ya gimana yah itukan mereka???#KamiUMKMdiTikTok","netral"
"Bagaimana nasip kami pak @jokowi, #KamiUMKMdiTikTok https://t.co/vpDWWNrWuv","netral"
"Pak @jokowi ini perjalanan kami #KamiUMKMdiTikTok  Lihat video tasanyamanngawi! #TikTok https://t.co/GLlamnjlUx","netral"
"Ratusan Pelaku UMKM TikTok Banyak Curhat di #KamiUMKMdiTikTok https://t.co/Lxn0dabZFK","netral"
"Dengan menutup TiktokShop menurut saya kurang pas ya, karena dengan adanya tiktokshop ini kami bisa membuka lapangan pekerjaan, jika tiktokshop ditutup maka banyak kepala keluarga yang kehilangan mata pencahariaan #KamiUMKMdiTikTok https://t.co/Li0umNNb3c","negatif"
"Kenapa ya @jokowi harus ditutup padahal membantu seller dan perekonomian seller selama ini. Alasannya apa sih???  #KamiUMKMdiTikTok tidak setuju banget https://t.co/BNmUGQ3elY","netral"
"Wa ini ada isu tiktok shop mau di tutup gimana nanti nasib para pedagangnya? @jokowi #KamiUMKMdiTikTok","netral"
"Ratusan Pelaku UMKM TikTok Banyak Curhat di #KamiUMKMdiTikTok https://t.co/Lxn0dabZFK","netral"
"Ngga adil banget sih kalo harus tutup tiktokshopnya Semoga ada solusi lain yang lebih bijaksana  #KamiUMKMdiTikTok","negatif"
"Sedih banget kalo harus tutup tiktokshop Padahal pemasukan lumayan dari situ #KamiUMKMdiTikTok","negatif"
"Jebakan BADMAN kali ini @jokowi kena menteri yg pengetahuannya JONGKOK gak ngerti Dunia era Digital #KamiUMKMdiTikTok keputusannya apa ada titipan yg punya Mall, #ZulHasJadulOtak","negatif"
"#KamiUMKMdiTikTok  Resmi  Arahan president  Tiktokshop dilarang . Jika melanggar Akan di blokir apikasi ya .. Yuk dukung pemerintah Demi umkm pasar pasar tradisional dan lain lain... https://t.co/QJRKayPCJl","positif"
"#KamiUMKMdiTikTok  RESMI  DUKUNG PEMERINTAH TIKTOKSHOP FIX DILARANG . KEMBALI KE AWAL HANYA SEBAGAI MEDIA KONTEN... https://t.co/J5f0TYsL5h","positif"
