,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
2,sebetulnya pro kontra ada yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli semua itu juga tergantung masyarakat kita yang merasakan masing masing,sebetulnya pro kontra ada yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli semua itu juga tergantung masyarakat kita yang merasakan masing masing,"['sebetulnya', 'pro', 'kontra', 'ada', 'yang', 'di', 'untungkan', 'dan', 'di', 'rugikan', 'bagi', 'pembeli', 'enaknya', 'tidak', 'keluar', 'rumah', 'termasuk', 'mengurangi', 'angka', 'kecelakaan', 'dan', 'enaknya', 'tepat', 'cepat', 'yang', 'aku', 'beli', 'semua', 'itu', 'juga', 'tergantung', 'masyarakat', 'kita', 'yang', 'merasakan', 'masing', 'masing']",betul pro kontra ada yang di untung dan di rugi bagi beli enak tidak keluar rumah masuk kurang angka celaka dan enak tepat cepat yang aku beli semua itu juga gantung masyarakat kita yang rasa masing masing,-16,negatif
3,percuma tiktokshop ditutup masih banyak belanja online kenapa tidak sekalian semua belanja online di tutup sekarang zamannya orang tidak mau pada ribet selama bisa online,percuma tiktokshop ditutup masih banyak belanja online kenapa tidak sekalian semua belanja online di tutup sekarang zamannya orang tidak mau pada ribet selama bisa online,"['percuma', 'tiktokshop', 'ditutup', 'masih', 'banyak', 'belanja', 'online', 'kenapa', 'tidak', 'sekalian', 'semua', 'belanja', 'online', 'di', 'tutup', 'sekarang', 'zamannya', 'orang', 'tidak', 'mau', 'pada', 'ribet', 'selama', 'bisa', 'online']",percuma tiktokshop tutup masih banyak belanja online kenapa tidak sekali semua belanja online di tutup sekarang zaman orang tidak mau pada ribet lama bisa online,-13,negatif
4,toko dan pasar ofline di daerah setiap hari megis gara gara gempuran online cari pelaris saja sulit,toko dan pasar ofline di daerah setiap hari megis gara gara gempuran online cari pelaris saja sulit,"['toko', 'dan', 'pasar', 'ofline', 'di', 'daerah', 'setiap', 'hari', 'megis', 'gara', 'gara', 'gempuran', 'online', 'cari', 'pelaris', 'saja', 'sulit']",toko dan pasar ofline di daerah tiap hari megis gara gara gempur online cari laris saja sulit,-18,negatif
5,alah tai kamu egois dan maruk yang jadi penjual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau meg sendiri,alah tahi kamu egois dan maruk yang jadi penjual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau meg sendiri,"['alah', 'tahi', 'kamu', 'egois', 'dan', 'maruk', 'yang', 'jadi', 'penjual', 'bukan', 'kamu', 'doang', 'kalau', 'soal', 'modernisasi', 'mereka', 'jelas', 'kalah', 'tapi', 'mereka', 'semua', 'sama', 'jadi', 'anda', 'jangan', 'mau', 'meg', 'sendiri']",alah tahi kamu egois dan maruk yang jadi jual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau meg sendiri,-28,negatif
6,bubarin saja tiktok sekalian suruh pulang ke china,bubarin saja tiktok sekalian suruh pulang ke china,"['bubarin', 'saja', 'tiktok', 'sekalian', 'suruh', 'pulang', 'ke', 'china']",bubarin saja tiktok sekali suruh pulang ke china,-6,negatif
7,saya sangat setuju ditutup,saya sangat setuju ditutup,"['saya', 'sangat', 'setuju', 'ditutup']",saya sangat tuju tutup,1,positif
8,ah paling juga pengalihan isu ti juga dibuka lagi kalau ikan udah jadi teg saja,ah paling juga pengalihan isu ti juga dibuka lagi kalau ikan sudah jadi teg saja,"['ah', 'paling', 'juga', 'pengalihan', 'isu', 'ti', 'juga', 'dibuka', 'lagi', 'kalau', 'ikan', 'sudah', 'jadi', 'teg', 'saja']",ah paling juga alih isu ti juga buka lagi kalau ikan sudah jadi teg saja,-1,negatif
10,alhamdulliah lagian udah pada kaya yang jualan di tiktok,alhamdulliah lagian sudah pada kayak yang jualan di tiktok,"['alhamdulliah', 'lagian', 'sudah', 'pada', 'kayak', 'yang', 'jualan', 'di', 'tiktok']",alhamdulliah lagi sudah pada kayak yang jual di tiktok,-10,negatif
11,udah pada kaya yang buka lapak di tiktokshop duitnya udah milyaran udah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop tetapi di sisi lain banyak pedagang yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop contohnya pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kuburan semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup,sudah pada kayak yang buka lapak di tiktokshop duitnya sudah milyaran sudah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop tetapi di sisi lain banyak pedagang yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop contohnya pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kuburan semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup,"['sudah', 'pada', 'kayak', 'yang', 'buka', 'lapak', 'di', 'tiktokshop', 'duitnya', 'sudah', 'milyaran', 'sudah', 'pada', 'punya', 'rumah', 'mewah', 'mobil', 'baru', 'tabungan', 'numpuk', 'dari', 'tiktokshop', 'tetapi', 'di', 'sisi', 'lain', 'banyak', 'pedagang', 'yang', 'sepi', 'dan', 'tutup', 'karena', 'dagangannya', 'tidak', 'laku', 'gegara', 'tiktok', 'shop', 'contohnya', 'pasar', 'tanah', 'abang', 'yang', 'dulunya', 'rame', 'sekarang', 'jadi', 'sepi', 'seperti', 'kuburan', 'semoga', 'sekarang', 'para', 'pedagangnya', 'rame', 'lagi', 'dan', 'laris', 'manis', 'setelah', 'tiktokshop', 'ditutup']",sudah pada kayak yang buka lapak di tiktokshop duit sudah milyaran sudah pada punya rumah mewah mobil baru tabung numpuk dari tiktokshop tetapi di sisi lain banyak dagang yang sepi dan tutup karena dagang tidak laku gegara tiktok shop contoh pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kubur moga sekarang para dagang rame lagi dan laris manis telah tiktokshop tutup,-21,negatif
12,makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia,makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia,"['makanya', 'bayar', 'pajak', 'sekalian', 'saja', 'tiktoknya', 'dihapus', 'di', 'indonesia']",makanya bayar pajak sekali saja tiktoknya hapus di indonesia,-9,negatif
