publishedAt,authorDisplayName,textDisplay,polarity_score,polarity
2023-10-11T09:03:19Z,@Pokuskan,syukur alhamdulillah smoga tidak ada lagi online shop yang seperti beginian buat pedagang pasar tradisional mall maupun pedagang keliling semoga setelah di tutupnya aplikasi ini jadi bisa makin berkembang kedepannya amiin,-8,negative
2023-10-17T06:17:25Z,@cargiewinata1963,galau,0,neutral
2023-10-11T03:32:45Z,@dewiyunita5479,sebetulnya pro kontra ada yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli semua itu juga tergantung masyarakat kita yang merasakan masing masing,-11,negative
2023-10-09T06:55:21Z,@user-zw3wm1op5p,percuma tiktokshop ditutup masih banyak belanja online kenapa tidak sekalian semua belanja online di tutup sekarang zamannya orang tidak mau pada ribet selama bisa online,-6,negative
2023-10-08T15:34:50Z,@arisudjiman3415,toko dan pasar ofline di daerah setiap hari menangis gara gara gempuran online cari pelaris saja sulit,-22,negative
2023-10-08T13:27:23Z,@Konsorsium_303,alah tai kamu egois dan maruk yang jadi penjual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau menang sendiri,-25,negative
2023-10-07T15:28:56Z,@triharyanto513,bubarin saja tiktok sekalian suruh pulang ke china,-5,negative
2023-10-07T10:08:57Z,@widyaamellya7250,saya sangat sejutu ditutup,0,neutral
2023-10-07T07:20:59Z,@anishamzah904,ah paling juga pengalihan isu nanti juga dibuka lagi kalau ikan udah jadi tenang saja,-4,negative
2023-10-07T04:44:28Z,@BlackDiamond-sw8lo,kebijakan free ongkir yang harusnya dibenerin kalahnya umkm di daerahkan karena ongkos angkutnya mahal kontrak perusahaan ekspedisi dan ecommerce harus diawasi tanpa free ongkir sebenarnya barang di ecommerce sebenarnya lebih mahal,10,positive
2023-10-07T01:23:25Z,@kentung.9233,alhamdulliah lagian udah pada kaya yang jualan di tiktok,-8,negative
2023-10-06T22:40:43Z,@fadilarshil0326,udah pada kaya yang buka lapak di tiktokshop duitnya udah milyaran udah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop tetapi di sisi lain banyak pedagang yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop contohnya pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kuburan semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup,-24,negative
2023-10-06T15:16:10Z,@ranticepi1862,makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia,-5,negative
2023-10-06T07:52:50Z,@AntoToken,bangun aplikasi sendiri khususnya mengutamakan produk lokal,-4,negative
2023-10-05T20:46:32Z,@anggasadewa1305,pusing pusing dan yang orang okb yang baru mau kaya gara gara aplikasi tiktok waw di tutup yang ada cicilan mobil rumah pada puyeng semua,-32,negative
2023-10-05T20:27:19Z,@defa113,alhamdulillah kerja bagus buat pemerintah yang jual banyak flexing memamerkan orderan penghasilan udah mendingan balik ke mode awal joged joged,5,positive
2023-10-05T17:36:54Z,@marofficial5339,dimana keadilan ini,0,neutral
2023-10-05T17:07:06Z,@Zakariahhadi,alhamdulillah semoga umkm indonesia bisa jalan lagi terutama yang offline,1,positive
2023-10-06T01:27:46Z,@HardyOkeyyy-yr3xd,alhamdulillah puji tuhan,12,positive
2023-10-05T15:43:28Z,@azrumhe,maaf di inggris sudah dilarang dan biasa saja,1,positive
2023-10-05T13:32:43Z,@sitiridwan7310,terimakasih tiktok ditutup aku masih cinta indonesiaku,10,positive
2023-10-05T11:25:51Z,@user-ln1pp8hn7d,kami anak muda digitalisasi sanggup berkompetisi dengan kemajuan jaman kami bukan anak cengeng apapun kondisinya kami akan selalu fight meski banyak yang tidak suka dengan cara kami bekerja sama kaya dulu ojol di komplain sama opang see di aplikasi lain nya see para umkm offline sampai ketemu di titik takdir yang baik menurut tuhan,-14,negative
2023-10-05T08:29:11Z,@user-pf8jb8po9h,kenapa harus di tutup tiktokshop warga senang dengan tiktokshop ada,2,positive
2023-10-05T07:57:59Z,@POKEMONGO-ic9cs,saya mah tutup apa tidak tidak ada ruginya buat saya ongkir mahal,-15,negative
